,district,elevation,Area,lat,lng,Year,Disaster Internal Displacements,Hazard Type,total_precip,drought_index,total solar,heavy rain,storm days,extreme temp,severerisk,low_pressure_days,pressure_anomaly,Country / Territory,population,Count of Disasters,pdensity,distancetowater,distancetowater1,distancetowater2,Country Code,gdp
118,jinja,1189,724429655.7,0.4233,33.2039,2022,360,Storm,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
119,jinja,1189,724429655.7,0.4233,33.2039,2022,45,Storm,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
120,jinja,1189,724429655.7,0.4233,33.2039,2022,6600,Flood,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
121,jinja,1189,724429655.7,0.4233,33.2039,2022,450,Mass Movement,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
122,jinja,1189,724429655.7,0.4233,33.2039,2022,420,Flood,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
123,jinja,1189,724429655.7,0.4233,33.2039,2022,970,Mass Movement,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
124,jinja,1189,724429655.7,0.4233,33.2039,2022,1900,Flood,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
125,jinja,1189,724429655.7,0.4233,33.2039,2022,490,Mass Movement,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
126,jinja,1189,724429655.7,0.4233,33.2039,2022,45,Storm,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
127,jinja,1189,724429655.7,0.4233,33.2039,2022,84,Mass Movement,1318.6,25.0,7964.9,254.0,0.0,1.0,22.0,0.0,187.0,Uganda,696695.6555862508,13,961.7160894842848,6395.720383,22145.94888,70762.73121,UGA,45565333216.4142
