,district,elevation,Area,lat,lng,Year,Disaster Internal Displacements,Hazard Type,total_precip,drought_index,total solar,heavy rain,storm days,extreme temp,severerisk,low_pressure_days,pressure_anomaly,Country / Territory,population,Count of Disasters,pdensity,distancetowater,distancetowater1,distancetowater2,Country Code,gdp
45,mbale,1128,518004681.3,1.0806,34.175,2014,1100,Flood,1525.2,77.0,7617.0,223.0,0.0,0.0,0.0,0.0,0.0,Uganda,608963.675262451,2,1175.5949265442498,54155.5868,58751.03464,62321.82277,UGA,32612397257.4458
46,mbale,1128,518004681.3,1.0806,34.175,2014,30000,Flood,1525.2,77.0,7617.0,223.0,0.0,0.0,0.0,0.0,0.0,Uganda,608963.675262451,2,1175.5949265442498,54155.5868,58751.03464,62321.82277,UGA,32612397257.4458
47,mbale,1128,518004681.3,1.0806,34.175,2018,1500,Mass Movement,2113.6,81.0,7478.6,229.0,0.0,3.0,0.0,0.0,179.0,Uganda,706364.595123291,1,1363.6258910837976,54155.5868,58751.03464,62321.82277,UGA,32927025619.6795
48,mbale,1128,518004681.3,1.0806,34.175,2023,160,Storm,1932.0,37.0,7293.8,278.0,0.0,1.0,14.0,0.0,182.0,Uganda,826796.7919353109,1,1596.118378429239,54155.5868,58751.03464,62321.82277,UGA,49272882213.623
49,bukedea,1123,1050102192.0,1.3475,34.0444,2019,55000,Flood,2385.5,66.0,7397.2,260.0,1.0,22.0,0.0,0.0,187.0,Uganda,294405.956409454,1,280.3593389789382,34591.83731,36103.16301,37166.59999,UGA,35348155095.4215
50,bukedea,1123,1050102192.0,1.3475,34.0444,2023,1,Flood,1226.8,76.0,8063.2,198.0,0.0,20.0,31.0,0.0,184.0,Uganda,336156.94165574305,5,320.1183125001448,34591.83731,36103.16301,37166.59999,UGA,49272882213.623
51,bukedea,1123,1050102192.0,1.3475,34.0444,2023,110,Flood,1226.8,76.0,8063.2,198.0,0.0,20.0,31.0,0.0,184.0,Uganda,336156.94165574305,5,320.1183125001448,34591.83731,36103.16301,37166.59999,UGA,49272882213.623
52,bukedea,1123,1050102192.0,1.3475,34.0444,2023,38,Flood,1226.8,76.0,8063.2,198.0,0.0,20.0,31.0,0.0,184.0,Uganda,336156.94165574305,5,320.1183125001448,34591.83731,36103.16301,37166.59999,UGA,49272882213.623
53,bukedea,1123,1050102192.0,1.3475,34.0444,2023,97,Flood,1226.8,76.0,8063.2,198.0,0.0,20.0,31.0,0.0,184.0,Uganda,336156.94165574305,5,320.1183125001448,34591.83731,36103.16301,37166.59999,UGA,49272882213.623
54,bukedea,1123,1050102192.0,1.3475,34.0444,2023,440,Flood,1226.8,76.0,8063.2,198.0,0.0,20.0,31.0,0.0,184.0,Uganda,336156.94165574305,5,320.1183125001448,34591.83731,36103.16301,37166.59999,UGA,49272882213.623
55,kabarole,1525,1311609286.0,0.6544,30.2744,2014,16000,Flood,1141.3,41.0,7008.1,239.0,0.0,0.0,0.0,0.0,22.0,Uganda,374240.802576065,1,285.3294853663189,73287.14391,85955.16587,88595.59737,UGA,32612397257.4458
56,busia,1221,762289479.8,0.4669,34.09,2020,7000,Flood,2728.9,34.0,7814.2,269.0,0.0,0.0,0.0,0.0,189.0,Uganda,472123.090732574,1,619.3488212069302,80380.30388,84838.11711,96714.77703,UGA,37600368239.8824
